MONTH,RING,Sphere,RAG Status,1st Draft Due,2nd Draft Due,Post / Pub Date,COMMENT,Time ,Instant or scheduled,Manager Approval ,Posting Manager,Content,Assigned,Type,Series,Content/Title,Content Detail,Platform,Content Type,Live Sessions,Target region,Target Language
May,72D Social Media,CANNES,FALSE,2019-05-19,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Market Participants,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-19,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-19,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-19,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-19,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Country Coverage,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-21,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Fashion At Cannes,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-21,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-21,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-21,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-21,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Films At Cannes,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
